Year,Category,Full Name,Movie,Win
2017,Best Director - Motion Picture,Christopher Nolan,Dunkirk,FALSE
2017,Best Motion Picture - Drama,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",TRUE
2017,Best Motion Picture - Drama,Luca Guadagnino,Call Me By Your Name,FALSE
2017,Best Motion Picture - Drama,Christopher Nolan,Dunkirk,FALSE
2017,Best Motion Picture - Drama,Steven Spielberg,The Post,FALSE
2017,Best Motion Picture - Drama,Guillermo del Toro,The Shape of Water,FALSE
2017,Best Motion Picture - Musical or Comedy,Greta Gerwig,Lady Bird,TRUE
2017,Best Motion Picture - Musical or Comedy,James Franco,"Disaster Artist, The ",FALSE
2017,Best Motion Picture - Musical or Comedy,Jordan Peele,Get Out,FALSE
2017,Best Motion Picture - Musical or Comedy,Michael Gracey,The Greatest Showman,FALSE
2017,Best Motion Picture - Musical or Comedy,Craig Gillespie,"I, Tonya",FALSE
2017,Best Performance by an Actor in a Motion Picture - Drama,Gary Oldman,Darkest Hour,TRUE
2017,Best Performance by an Actor in a Motion Picture - Drama,Timothée Chalamet,Call Me By Your Name,FALSE
2017,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,Phantom Thread,FALSE
2017,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,The Post,FALSE
2017,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,"Roman J. Israel, Esq.",FALSE
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Franco,"Disaster Artist, The ",TRUE
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Jackman,The Greatest Showman,FALSE
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Daniel Kaluuya,Get Out,FALSE
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Steve Carell,Battle of the Sexes,FALSE
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ansel Elgort,Baby Driver,FALSE
2017,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",TRUE
2017,Best Performance by an Actor in a Supporting Role in any Motion Picture,Willem Dafoe,"Florida Project, The ",FALSE
2017,Best Performance by an Actor in a Supporting Role in any Motion Picture,Armie Hammer,Call Me By Your Name,FALSE
2017,Best Performance by an Actor in a Supporting Role in any Motion Picture,Richard Jenkins,The Shape of Water,FALSE
2017,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christopher Plummer,All The Money In The World,FALSE
