Year,Category,Director,Film,Result
2004,Directing,Michel Gondry,Eternal Sunshine of the Spotless Mind,Nominee
2004,Directing,Michael Mann,Collateral,Nominee
2004,Directing,Martin Scorsese,The Aviator,Nominee
2005,Directing,Ang Lee,Brokeback Mountain,Winner
2005,Directing,George Clooney,"Good Night, and Good Luck",Nominee
2005,Directing,Paul Haggis,Crash,Nominee
2005,Directing,Fernando Meirelles,The Constant Gardener,Nominee
2005,Directing,Bennett Miller,Capote,Nominee
2006,Directing,Paul Greengrass,United 93,Winner
2006,Directing,Jonathan Dayton and Valerie Faris,Little Miss Sunshine,Nominee
2006,Directing,Stephen Frears,The Queen,Nominee
2006,Directing,Alejandro González Iñárritu,Babel,Nominee
2006,Directing,Martin Scorsese,The Departed,Nominee
2007,Directing,Joel Coen and Ethan Coen,No Country for Old Men,Winner
2007,Directing,Paul Thomas Anderson,There Will Be Blood,Nominee
2007,Directing,Paul Greengrass,The Bourne Ultimatum,Nominee
2007,Directing,Florian Henckel von Donnersmarck,The Lives of Others,Nominee
2007,Directing,Joe Wright,Atonement,Nominee
2008,Directing,Danny Boyle,Slumdog Millionaire,Winner
2008,Directing,Stephen Daldry,The Reader,Nominee
2008,Directing,Clint Eastwood,Changeling,Nominee
2008,Directing,David Fincher,The Curious Case of Benjamin Button,Nominee
2008,Directing,Ron Howard,Frost/Nixon,Nominee
2009,Directing,Kathryn Bigelow,The Hurt Locker,Winner
2009,Directing,Neill Blomkamp,District 9,Nominee
2009,Directing,James Cameron,Avatar,Nominee
2009,Directing,Lone Scherfig,An Education,Nominee
2009,Directing,Quentin Tarantino,Inglourious Basterds,Nominee
2010,Directing,David Fincher,The Social Network,Winner
2010,Directing,Darren Aronofsky,Black Swan,Nominee
2010,Directing,Danny Boyle,127 Hours,Nominee
2010,Directing,Tom Hooper,The King's Speech,Nominee
2010,Directing,Christopher Nolan,Inception,Nominee
2011,Directing,Michel Hazanavicius,The Artist,Winner
2011,Directing,Tomas Alfredson,Tinker Tailor Soldier Spy,Nominee
2011,Directing,Lynne Ramsay,We Need to Talk About Kevin,Nominee
2011,Directing,Nicolas Winding Refn,Drive,Nominee
2011,Directing,Martin Scorsese,Hugo,Nominee
2012,Directing,Ben Affleck,Argo,Winner
2012,Directing,Kathryn Bigelow,Zero Dark Thirty,Nominee
2012,Directing,Michael Haneke,Amour,Nominee
2012,Directing,Ang Lee,Life of Pi,Nominee
2012,Directing,Quentin Tarantino,Django Unchained,Nominee
2013,Directing,Alfonso Cuarón,Gravity,Winner
2013,Directing,Paul Greengrass,Captain Phillips,Nominee
2013,Directing,Steve McQueen,12 Years a Slave,Nominee
2013,Directing,David O. Russell,American Hustle,Nominee
2013,Directing,Martin Scorsese,The Wolf of Wall Street,Nominee
