Year,Category,Director(s),Film,Result
2018,Film,Peter Farrelly,Green Book,Nominee
2018,Film,Bradley Cooper,A Star is Born,Nominee
2019,Film,Sam Mendes,1917,Winner
2019,Film,Martin Scorsese,The Irishman,Nominee
2019,Film,Todd Phillips,Joker,Nominee
2019,Film,Quentin Tarantino,Once Upon a Time in Hollywood,Nominee
2019,Film,Bong Joon-ho,Parasite,Nominee
2020,Film,Chloé Zhao,Nomadland,Winner
2020,Film,Florian Zeller,The Father,Nominee
2020,Film,Kevin Macdonald,The Mauritanian,Nominee
2020,Film,Emerald Fennell,Promising Young Woman,Nominee
2020,Film,Aaron Sorkin,The Trial of the Chicago 7,Nominee
2021,Film,Jane Campion,The Power of the Dog,Winner
2021,Film,Kenneth Branagh,Belfast,Nominee
2021,Film,Adam McKay,Don't Look Up,Nominee
2021,Film,Denis Villeneuve,Dune,Nominee
2021,Film,Paul Thomas Anderson,Licorice Pizza,Nominee
2022,Film,Edward Berger,All Quiet on the Western Front,Winner
2022,Film,Martin McDonagh,The Banshees of Inisherin,Nominee
2022,Film,Baz Luhrmann,Elvis,Nominee
2022,Film,"Daniel Kwan, Daniel Scheinert",Everything Everywhere All at Once,Nominee
2022,Film,Todd Field,Tár,Nominee
2023,Film,Christopher Nolan,Oppenheimer,Winner
2023,Film,Justine Triet,Anatomy of a Fall,Nominee
2023,Film,Alexander Payne,The Holdovers,Nominee
2023,Film,Martin Scorsese,Killers of the Flower Moon,Nominee
2023,Film,Yorgos Lanthimos,Poor Things,Nominee
