year,category,full_name,Film,won
2002,FEMALE SUPPORTING ROLE,QUEEN LATIFAH,CHICAGO,FALSE
2002,FEMALE SUPPORTING ROLE,JULIANNE MOORE,THE HOURS,FALSE
2002,FEMALE SUPPORTING ROLE,MICHELLE PFEIFFER,WHITE OLEANDER,FALSE
2002,MALE LEAD ROLE,JACK NICHOLSON,ABOUT SCHMIDT,FALSE
2002,MALE LEAD ROLE,NICOLAS CAGE,ADAPTATION,FALSE
2002,MALE LEAD ROLE,RICHARD GERE,CHICAGO,FALSE
2002,MALE LEAD ROLE,DANIEL DAY-LEWIS,GANGS OF NEW YORK,TRUE
2002,MALE LEAD ROLE,ADRIEN BRODY,THE PIANIST,FALSE
2002,MALE SUPPORTING ROLE,CHRIS COOPER,ADAPTATION,FALSE
2002,MALE SUPPORTING ROLE,CHRISTOPHER WALKEN,CATCH ME IF YOU CAN,TRUE
2002,MALE SUPPORTING ROLE,DENNIS QUAID,FAR FROM HEAVEN,FALSE
2002,MALE SUPPORTING ROLE,ALFRED MOLINA,FRIDA,FALSE
2002,MALE SUPPORTING ROLE,ED HARRIS,THE HOURS,FALSE
2002,MOTION PICTURE,Spike Jonze,ADAPTATION,FALSE
2002,MOTION PICTURE,Rob Marshall,CHICAGO,TRUE
2002,MOTION PICTURE,Peter Jackson,LORD OF THE RINGS: THE TWO TOWERS,FALSE
2002,MOTION PICTURE,Joel Zwick,MY BIG FAT GREEK WEDDING,FALSE
2002,MOTION PICTURE,Stephen Daldry,THE HOURS,FALSE
2003,FEMALE LEAD ROLE,NAOMI WATTS,21 GRAMS,FALSE
2003,FEMALE LEAD ROLE,CHARLIZE THERON,MONSTER,TRUE
2003,FEMALE LEAD ROLE,DIANE KEATON,SOMETHING'S GOTTA GIVE,FALSE
2003,FEMALE LEAD ROLE,PATRICIA CLARKSON,THE STATION AGENT,FALSE
2003,FEMALE LEAD ROLE,EVAN RACHEL WOOD,THIRTEEN,FALSE
2003,FEMALE SUPPORTING ROLE,RENÉE ZELLWEGER,COLD MOUNTAIN,TRUE
2003,FEMALE SUPPORTING ROLE,PATRICIA CLARKSON,PIECES OF APRIL,FALSE
2003,FEMALE SUPPORTING ROLE,MARIA BELLO,THE COOLER,FALSE
2003,FEMALE SUPPORTING ROLE,HOLLY HUNTER,THIRTEEN,FALSE
2003,FEMALE SUPPORTING ROLE,KEISHA CASTLE-HUGHES,WHALE RIDER,FALSE
2003,MALE LEAD ROLE,BEN KINGSLEY,HOUSE OF SAND AND FOG,FALSE
2003,MALE LEAD ROLE,BILL MURRAY,LOST IN TRANSLATION,FALSE
2003,MALE LEAD ROLE,SEAN PENN,MYSTIC RIVER,FALSE
2003,MALE LEAD ROLE,JOHNNY DEPP,PIRATES OF THE CARIBBEAN: THE CURSE OF THE BLACK PEARL,TRUE
2003,MALE LEAD ROLE,PETER DINKLAGE,THE STATION AGENT,FALSE
2003,MALE SUPPORTING ROLE,BENICIO DEL TORO,21 GRAMS,FALSE
2003,MALE SUPPORTING ROLE,TIM ROBBINS,MYSTIC RIVER,TRUE
2003,MALE SUPPORTING ROLE,CHRIS COOPER,SEABISCUIT,FALSE
2003,MALE SUPPORTING ROLE,ALEC BALDWIN,THE COOLER,FALSE
2003,MALE SUPPORTING ROLE,KEN WATANABE,THE LAST SAMURAI,FALSE
2003,MOTION PICTURE,Jim Sheridan,IN AMERICA,FALSE
2003,MOTION PICTURE,Peter Jackson,LORD OF THE RINGS: THE RETURN OF THE KING,TRUE
2003,MOTION PICTURE,Clint Eastwood,MYSTIC RIVER,FALSE
2003,MOTION PICTURE,Gary Ross,SEABISCUIT,FALSE
2003,MOTION PICTURE,Tom McCarthy,THE STATION AGENT,FALSE
2004,FEMALE LEAD ROLE,ANNETTE BENING,BEING JULIA,FALSE
2004,FEMALE LEAD ROLE,KATE WINSLET,ETERNAL SUNSHINE OF THE SPOTLESS MIND,FALSE
2004,FEMALE LEAD ROLE,CATALINA SANDINO MORENO,MARIA FULL OF GRACE,FALSE
2004,FEMALE LEAD ROLE,HILARY SWANK,MILLION DOLLAR BABY,TRUE
2004,FEMALE LEAD ROLE,IMELDA STAUNTON,VERA DRAKE,FALSE
2004,FEMALE SUPPORTING ROLE,SOPHIE OKONEDO,HOTEL RWANDA,FALSE
2004,FEMALE SUPPORTING ROLE,LAURA LINNEY,KINSEY,FALSE
2004,FEMALE SUPPORTING ROLE,VIRGINIA MADSEN,SIDEWAYS,FALSE
2004,FEMALE SUPPORTING ROLE,CLORIS LEACHMAN,SPANGLISH,FALSE
2004,FEMALE SUPPORTING ROLE,CATE BLANCHETT,THE AVIATOR,TRUE
2004,MALE LEAD ROLE,JOHNNY DEPP,FINDING NEVERLAND,FALSE
2004,MALE LEAD ROLE,DON CHEADLE,HOTEL RWANDA,FALSE
2004,MALE LEAD ROLE,JAMIE FOXX,RAY,TRUE
2004,MALE LEAD ROLE,PAUL GIAMATTI,SIDEWAYS,FALSE
2004,MALE LEAD ROLE,LEONARDO DICAPRIO,THE AVIATOR,FALSE
2004,MALE SUPPORTING ROLE,JAMIE FOXX,COLLATERAL,FALSE
2004,MALE SUPPORTING ROLE,FREDDIE HIGHMORE,FINDING NEVERLAND,FALSE
2004,MALE SUPPORTING ROLE,MORGAN FREEMAN,MILLION DOLLAR BABY,TRUE
2004,MALE SUPPORTING ROLE,THOMAS HADEN CHURCH,SIDEWAYS,FALSE
2004,MALE SUPPORTING ROLE,JAMES GARNER,THE NOTEBOOK,FALSE
2004,MOTION PICTURE,Marc Forster,FINDING NEVERLAND,FALSE
2004,MOTION PICTURE,Terry George,HOTEL RWANDA,FALSE
2004,MOTION PICTURE,Clint Eastwood,MILLION DOLLAR BABY,FALSE
2004,MOTION PICTURE,Taylor Hackford,RAY,FALSE
2004,MOTION PICTURE,Alexander Payne,SIDEWAYS,TRUE
2004,MOTION PICTURE,Martin Scorsese,THE AVIATOR,FALSE
2005,FEMALE LEAD ROLE,ZIYI ZHANG,MEMOIRS OF A GEISHA,FALSE
2005,FEMALE LEAD ROLE,JUDI DENCH,MRS. HENDERSON PRESENTS,FALSE
2005,FEMALE LEAD ROLE,CHARLIZE THERON,NORTH COUNTRY,FALSE
2005,FEMALE LEAD ROLE,FELICITY HUFFMAN,TRANSAMERICA,FALSE
2005,FEMALE LEAD ROLE,REESE WITHERSPOON,WALK THE LINE,TRUE
2005,FEMALE SUPPORTING ROLE,MICHELLE WILLIAMS,BROKEBACK MOUNTAIN,FALSE
2005,FEMALE SUPPORTING ROLE,CATHERINE KEENER,CAPOTE,FALSE
2005,FEMALE SUPPORTING ROLE,AMY ADAMS,JUNEBUG,FALSE
2005,FEMALE SUPPORTING ROLE,FRANCES McDORMAND,NORTH COUNTRY,FALSE
2005,FEMALE SUPPORTING ROLE,RACHEL WEISZ,THE CONSTANT GARDENER,TRUE
2005,MALE LEAD ROLE,HEATH LEDGER,BROKEBACK MOUNTAIN,FALSE
2005,MALE LEAD ROLE,PHILIP SEYMOUR HOFFMAN,CAPOTE,TRUE
2005,MALE LEAD ROLE,RUSSELL CROWE,CINDERELLA MAN,FALSE
2005,MALE LEAD ROLE,DAVID STRATHAIRN,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2005,MALE LEAD ROLE,JOAQUIN PHOENIX,WALK THE LINE,FALSE
2005,MALE SUPPORTING ROLE,JAKE GYLLENHAAL,BROKEBACK MOUNTAIN,FALSE
2005,MALE SUPPORTING ROLE,PAUL GIAMATTI,CINDERELLA MAN,TRUE
2005,MALE SUPPORTING ROLE,DON CHEADLE,CRASH,FALSE
2005,MALE SUPPORTING ROLE,MATT DILLON,CRASH,FALSE
2005,MALE SUPPORTING ROLE,GEORGE CLOONEY,SYRIANA,FALSE
2005,MOTION PICTURE,Ang Lee,BROKEBACK MOUNTAIN,FALSE
2005,MOTION PICTURE,Bennett Miller,CAPOTE,FALSE
2005,MOTION PICTURE,Bennett Miller,CRASH,TRUE
2005,MOTION PICTURE,George Clooney,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2005,MOTION PICTURE,Craig Brewer,HUSTLE & FLOW,FALSE
2006,FEMALE LEAD ROLE,KATE WINSLET,LITTLE CHILDREN,FALSE
2006,FEMALE LEAD ROLE,JUDI DENCH,NOTES ON A SCANDAL,FALSE
2006,FEMALE LEAD ROLE,MERYL STREEP,THE DEVIL WEARS PRADA,FALSE
2006,FEMALE LEAD ROLE,HELEN MIRREN,THE QUEEN,TRUE
2006,FEMALE LEAD ROLE,PENÉLOPE CRUZ,VOLVER,FALSE
2006,FEMALE SUPPORTING ROLE,ADRIANA BARRAZA,BABEL,FALSE
2006,FEMALE SUPPORTING ROLE,RINKO KIKUCHI,BABEL,FALSE
2006,FEMALE SUPPORTING ROLE,JENNIFER HUDSON,DREAMGIRLS,TRUE
2006,FEMALE SUPPORTING ROLE,ABIGAIL BRESLIN,LITTLE MISS SUNSHINE,FALSE
2006,FEMALE SUPPORTING ROLE,CATE BLANCHETT,NOTES ON A SCANDAL,FALSE
2006,MALE LEAD ROLE,LEONARDO DICAPRIO,BLOOD DIAMOND,FALSE
2006,MALE LEAD ROLE,RYAN GOSLING,HALF NELSON,FALSE
2006,MALE LEAD ROLE,WILL SMITH,PURSUIT OF HAPPYNESS,FALSE
2006,MALE LEAD ROLE,FOREST WHITAKER,THE LAST KING OF SCOTLAND,TRUE
2006,MALE LEAD ROLE,PETER O'TOOLE,VENUS,FALSE
2006,MALE SUPPORTING ROLE,DJIMON HOUNSOU,BLOOD DIAMOND,FALSE
2006,MALE SUPPORTING ROLE,EDDIE MURPHY,DREAMGIRLS,TRUE
2006,MALE SUPPORTING ROLE,JACKIE EARLE HALEY,LITTLE CHILDREN,FALSE
2006,MALE SUPPORTING ROLE,ALAN ARKIN,LITTLE MISS SUNSHINE,FALSE
2006,MALE SUPPORTING ROLE,LEONARDO DICAPRIO,THE DEPARTED,FALSE
2006,MOTION PICTURE,Alejandro González Iñárritu,BABEL,FALSE
2006,MOTION PICTURE,Emilio Estevez,BOBBY,FALSE
2006,MOTION PICTURE,Bill Condon,DREAMGIRLS,FALSE
2006,MOTION PICTURE,Jonathan Daytonand Valerie Faris,LITTLE MISS SUNSHINE,TRUE
2006,MOTION PICTURE,Martin Scorsese,THE DEPARTED,FALSE
2007,FEMALE LEAD ROLE,ANGELINA JOLIE,A MIGHTY HEART,FALSE
2007,FEMALE LEAD ROLE,JULIE CHRISTIE,AWAY FROM HER,TRUE
2007,FEMALE LEAD ROLE,CATE BLANCHETT,ELIZABETH: THE GOLDEN AGE,FALSE
2007,FEMALE LEAD ROLE,ELLEN PAGE,JUNO,FALSE
2007,FEMALE LEAD ROLE,MARION COTILLARD,LA VIE EN ROSE,FALSE
2007,FEMALE SUPPORTING ROLE,RUBY DEE,AMERICAN GANGSTER,TRUE
2007,FEMALE SUPPORTING ROLE,AMY RYAN,GONE BABY GONE,FALSE
2007,FEMALE SUPPORTING ROLE,CATE BLANCHETT,I'M NOT THERE,FALSE
2007,FEMALE SUPPORTING ROLE,CATHERINE KEENER,INTO THE WILD,FALSE
2007,FEMALE SUPPORTING ROLE,TILDA SWINTON,MICHAEL CLAYTON,FALSE
2007,MALE LEAD ROLE,VIGGO MORTENSEN,EASTERN PROMISES,FALSE
2007,MALE LEAD ROLE,EMILE HIRSCH,INTO THE WILD,FALSE
2007,MALE LEAD ROLE,RYAN GOSLING,LARS AND THE REAL GIRL,FALSE
2007,MALE LEAD ROLE,GEORGE CLOONEY,MICHAEL CLAYTON,FALSE
2007,MALE LEAD ROLE,DANIEL DAY-LEWIS,THERE WILL BE BLOOD,TRUE
2007,MALE SUPPORTING ROLE,HAL HOLBROOK,INTO THE WILD,FALSE
2007,MALE SUPPORTING ROLE,TOM WILKINSON,MICHAEL CLAYTON,FALSE
2007,MALE SUPPORTING ROLE,JAVIER BARDEM,NO COUNTRY FOR OLD MEN,TRUE
2007,MALE SUPPORTING ROLE,TOMMY LEE JONES,NO COUNTRY FOR OLD MEN,FALSE
2007,MALE SUPPORTING ROLE,CASEY AFFLECK,THE ASSINATION OF JESSE JAMES BY THE COWARD ROBERT FORD,FALSE
2007,MOTION PICTURE,James Mangold,3:10 TO YUMA,FALSE
2007,MOTION PICTURE,Ridley Scott,AMERICAN GANGSTER,FALSE
2007,MOTION PICTURE,Adam Shankman,HAIRSPRAY,FALSE
2007,MOTION PICTURE,Sean Penn,INTO THE WILD,FALSE
2007,MOTION PICTURE,Joel Coen and Ethan Coen,NO COUNTRY FOR OLD MEN,TRUE
2008,FEMALE LEAD ROLE,ANGELINA JOLIE,CHANGELING,FALSE
2008,FEMALE LEAD ROLE,MERYL STREEP,DOUBT,TRUE
2008,FEMALE LEAD ROLE,MELISSA LEO,FROZEN RIVER,FALSE
2008,FEMALE LEAD ROLE,ANNE HATHAWAY,RACHEL GETTING MARRIED,FALSE
2008,FEMALE LEAD ROLE,KATE WINSLET,REVOLUTIONARY ROAD,FALSE
2008,FEMALE SUPPORTING ROLE,AMY ADAMS,DOUBT,FALSE
2008,FEMALE SUPPORTING ROLE,VIOLA DAVIS,DOUBT,FALSE
2008,FEMALE SUPPORTING ROLE,TARAJI P. HENSON,THE CURIOUS CASE OF BENJAMIN BUTTON,FALSE
2008,FEMALE SUPPORTING ROLE,KATE WINSLET,THE READER,TRUE
2008,FEMALE SUPPORTING ROLE,PENÉLOPE CRUZ,VICKY CRISTINA BARCELONA,FALSE
2008,MALE LEAD ROLE,FRANK LANGELLA,FROST/NIXON,FALSE
2008,MALE LEAD ROLE,SEAN PENN,MILK,TRUE
2008,MALE LEAD ROLE,BRAD PITT,THE CURIOUS CASE OF BENJAMIN BUTTON,FALSE
2008,MALE LEAD ROLE,RICHARD JENKINS,THE VISITOR,FALSE
2008,MALE LEAD ROLE,MICKEY ROURKE,THE WRESTLER,FALSE
2008,MALE SUPPORTING ROLE,PHILIP SEYMOUR HOFFMAN,DOUBT,FALSE
2008,MALE SUPPORTING ROLE,JOSH BROLIN,MILK,FALSE
2008,MALE SUPPORTING ROLE,DEV PATEL,SLUMDOG MILLIONAIRE,FALSE
2008,MALE SUPPORTING ROLE,HEATH LEDGER,THE DARK KNIGHT,TRUE
2008,MALE SUPPORTING ROLE,"ROBERT DOWNEY, JR.",TROPIC THUNDER,FALSE
2008,MOTION PICTURE,John Patrick Shanley,DOUBT,FALSE
2008,MOTION PICTURE,Ron Howard,FROST/NIXON,FALSE
2008,MOTION PICTURE,Gus Van Sant,MILK,FALSE
2008,MOTION PICTURE,Danny Boyle,SLUMDOG MILLIONAIRE,TRUE
2008,MOTION PICTURE,David Fincher,THE CURIOUS CASE OF BENJAMIN BUTTON,FALSE
2009,FEMALE LEAD ROLE,CAREY MULLIGAN,AN EDUCATION,FALSE
2009,FEMALE LEAD ROLE,MERYL STREEP,JULIE & JULIA,FALSE
2009,FEMALE LEAD ROLE,GABOUREY SIDIBE,PRECIOUS,FALSE
2009,FEMALE LEAD ROLE,SANDRA BULLOCK,THE BLIND SIDE,TRUE
2009,FEMALE LEAD ROLE,HELEN MIRREN,THE LAST STATION,FALSE
2009,FEMALE SUPPORTING ROLE,DIANE KRUGER,INGLOURIOUS BASTERDS,FALSE
2009,FEMALE SUPPORTING ROLE,PENÉLOPE CRUZ,NINE,FALSE
2009,FEMALE SUPPORTING ROLE,"MONIQUE ANGELA ""Mo'NIQUE"" HICKS",PRECIOUS,TRUE
2009,FEMALE SUPPORTING ROLE,ANNA KENDRICK,UP IN THE AIR,FALSE
2009,FEMALE SUPPORTING ROLE,VERA FARMINGA,UP IN THE AIR,FALSE
2009,MALE LEAD ROLE,COLIN FIRTH,A SINGLE MAN,FALSE
2009,MALE LEAD ROLE,JEFF BRIDGES,CRAZY HEART,TRUE
2009,MALE LEAD ROLE,MORGAN FREEMAN,INVICTUS,FALSE
2009,MALE LEAD ROLE,JEREMY RENNER,THE HURT LOCKER,FALSE
2009,MALE LEAD ROLE,GEORGE CLOONEY,UP IN THE AIR,FALSE
2009,MALE SUPPORTING ROLE,CHRISTOPH WALTZ,INGLOURIOUS BASTERDS,TRUE
2009,MALE SUPPORTING ROLE,MATT DAMON,INVICTUS,FALSE
2009,MALE SUPPORTING ROLE,CHRISTOPHER PLUMMER,THE LAST STATION,FALSE
2009,MALE SUPPORTING ROLE,STANLEY TUCCI,THE LOVELY BONES,FALSE
2009,MALE SUPPORTING ROLE,WOODY HARRELSON,THE MESSENGER,FALSE
2009,MOTION PICTURE,Lone Scherfig,AN EDUCATION,FALSE
2009,MOTION PICTURE,Quentin Tarantino,INGLOURIOUS BASTERDS,TRUE
2009,MOTION PICTURE,Rob Marshall,NINE,FALSE
2009,MOTION PICTURE,Lee Daniels,PRECIOUS,FALSE
2009,MOTION PICTURE,Kathryn Bigelow,THE HURT LOCKER,FALSE
2010,FEMALE LEAD ROLE,NATALIE PORTMAN,BLACK SWAN,TRUE
2010,FEMALE LEAD ROLE,HILARY SWANK,CONVICTION,FALSE
2010,FEMALE LEAD ROLE,NICOLE KIDMAN,RABBIT HOLE,FALSE
2010,FEMALE LEAD ROLE,ANNETTE BENING,THE KIDS ARE ALL RIGHT,FALSE
2010,FEMALE LEAD ROLE,JENNIFER LAWRENCE,WINTER'S BONE,FALSE
2010,FEMALE SUPPORTING ROLE,MILA KUNIS,BLACK SWAN,FALSE
2010,FEMALE SUPPORTING ROLE,AMY ADAMS,THE FIGHTER,FALSE
2010,FEMALE SUPPORTING ROLE,MELISSA LEO,THE FIGHTER,TRUE
2010,FEMALE SUPPORTING ROLE,HELENA BONHAM CARTER,THE KING'S SPEECH,FALSE
2010,FEMALE SUPPORTING ROLE,HAILEE STEINFELD,TRUE GRIT,FALSE
2010,MALE LEAD ROLE,JAMES FRANCO,127 HOURS,FALSE
2010,MALE LEAD ROLE,ROBERT DUVALL,GET LOW,FALSE
2010,MALE LEAD ROLE,COLIN FIRTH,THE KING'S SPEECH,TRUE
2010,MALE LEAD ROLE,JESSE EISENBERG,THE SOCIAL NETWORK,FALSE
2010,MALE LEAD ROLE,JEFF BRIDGES,TRUE GRIT,FALSE
2010,MALE SUPPORTING ROLE,CHRISTIAN BALE,THE FIGHTER,TRUE
2010,MALE SUPPORTING ROLE,MARK RUFFALO,THE KIDS ARE ALL RIGHT,FALSE
2010,MALE SUPPORTING ROLE,GEOFFREY RUSH,THE KING'S SPEECH,FALSE
2010,MALE SUPPORTING ROLE,JEREMY RENNER,THE TOWN,FALSE
2010,MALE SUPPORTING ROLE,JOHN HAWKES,WINTER'S BONE,FALSE
2010,MOTION PICTURE,Darren Aronofsky,BLACK SWAN,FALSE
2010,MOTION PICTURE,David O. Russell,THE FIGHTER,FALSE
2010,MOTION PICTURE,Lisa Cholodenko,THE KIDS ARE ALL RIGHT,FALSE
2010,MOTION PICTURE,Tom Hooper,THE KING'S SPEECH,TRUE
2010,MOTION PICTURE,David Fincher,THE SOCIAL NETWORK,FALSE
2011,FEMALE LEAD ROLE,GLENN CLOSE,ALBERT NOBBS,FALSE
2011,FEMALE LEAD ROLE,MICHELLE WILLIAMS,MY WEEK WITH MARILYN,FALSE
2011,FEMALE LEAD ROLE,VIOLA DAVIS,THE HELP,TRUE
2011,FEMALE LEAD ROLE,MERYL STREEP,THE IRON LADY,FALSE
2011,FEMALE LEAD ROLE,TILDA SWINTON,WE NEED TO TALK ABOUT KEVIN,FALSE
2011,FEMALE SUPPORTING ROLE,JANET MCTEER,ALBERT NOBBS,FALSE
2011,FEMALE SUPPORTING ROLE,MELISSA MCCARTHY,BRIDESMAIDS,FALSE
2011,FEMALE SUPPORTING ROLE,BÉRÉNICE BEJO,THE ARTIST,FALSE
2011,FEMALE SUPPORTING ROLE,JESSICA CHASTAIN,THE HELP,FALSE
2011,FEMALE SUPPORTING ROLE,OCTAVIA SPENCER,THE HELP,TRUE
2011,MALE LEAD ROLE,DEMIAN BICHIR,A BETTER LIFE,FALSE
2011,MALE LEAD ROLE,LEONARDO DICAPRIO,J. EDGAR,FALSE
2011,MALE LEAD ROLE,BRAD PITT,MONEYBALL,FALSE
2011,MALE LEAD ROLE,JEAN DUJARDIN,THE ARTIST,TRUE
2011,MALE LEAD ROLE,GEORGE CLOONEY,THE DESCENDANTS,FALSE
2011,MALE SUPPORTING ROLE,CHRISTOPHER PLUMMER,BEGINNERS,TRUE
2011,MALE SUPPORTING ROLE,ARMIE HAMMER,J. EDGAR,FALSE
2011,MALE SUPPORTING ROLE,JONAH HILL,MONEYBALL,FALSE
2011,MALE SUPPORTING ROLE,KENNETH BRANAGH,MY WEEK WITH MARILYN,FALSE
2011,MALE SUPPORTING ROLE,NICK NOLTE,WARRIOR,FALSE
2011,MOTION PICTURE,Paul Feig,BRIDESMAIDS,FALSE
2011,MOTION PICTURE,Woody Allen,MIDNIGHT IN PARIS,FALSE
2011,MOTION PICTURE,Michel Hazanavicius,THE ARTIST,FALSE
2011,MOTION PICTURE,Alexander Payne,THE DESCENDANTS,FALSE
2011,MOTION PICTURE,Tate Taylor,THE HELP,TRUE
2012,FEMALE LEAD ROLE,HELEN MIRREN,HITCHCOCK,FALSE
2012,FEMALE LEAD ROLE,MARION COTILLARD,RUST AND BONE,FALSE
2012,FEMALE LEAD ROLE,JENNIFER LAWRENCE,SILVER LININGS PLAYBOOK,TRUE
2012,FEMALE LEAD ROLE,NAOMI WATTS,THE IMPOSSIBLE,FALSE
2012,FEMALE LEAD ROLE,JESSICA CHASTAIN,ZERO DARK THIRTY,FALSE
2012,FEMALE SUPPORTING ROLE,ANNE HATHAWAY,LES MISÉRABLES,TRUE
2012,FEMALE SUPPORTING ROLE,SALLY FIELD,LINCOLN,FALSE
2012,FEMALE SUPPORTING ROLE,MAGGIE SMITH,THE BEST EXOTIC MARIGOLD HOTEL,FALSE
2012,FEMALE SUPPORTING ROLE,NICOLE KIDMAN,THE PAPERBOY,FALSE
2012,FEMALE SUPPORTING ROLE,HELEN HUNT,THE SESSIONS,FALSE
2012,MALE LEAD ROLE,DENZEL WASHINGTON,FLIGHT,FALSE
2012,MALE LEAD ROLE,HUGH JACKMAN,LES MISÉRABLES,FALSE
2012,MALE LEAD ROLE,DANIEL DAY-LEWIS,LINCOLN,TRUE
