year,category,full_name,Film,won
2012,MALE LEAD ROLE,BRADLEY COOPER,SILVER LININGS PLAYBOOK,FALSE
2012,MALE LEAD ROLE,JOHN HAWKES,THE SESSIONS,FALSE
2012,MALE SUPPORTING ROLE,ALAN ARKIN,ARGO,FALSE
2012,MALE SUPPORTING ROLE,TOMMY LEE JONES,LINCOLN,TRUE
2012,MALE SUPPORTING ROLE,ROBERT DE NIRO,SILVER LININGS PLAYBOOK,FALSE
2012,MALE SUPPORTING ROLE,JAVIER BARDEM,SKYFALL,FALSE
2012,MALE SUPPORTING ROLE,PHILIP SEYMOUR HOFFMAN,THE MASTER,FALSE
2012,MOTION PICTURE,Ben Affleck,ARGO,TRUE
2012,MOTION PICTURE,Tom Hooper,LES MISÉRABLES,FALSE
2012,MOTION PICTURE,Steven Spielberg,LINCOLN,FALSE
2012,MOTION PICTURE,David O. Russell,SILVER LININGS PLAYBOOK,FALSE
2012,MOTION PICTURE,John Madden,THE BEST EXOTIC MARIGOLD HOTEL,FALSE
2013,FEMALE LEAD ROLE,MERYL STREEP,AUGUST  OSAGE COUNTY,FALSE
2013,FEMALE LEAD ROLE,CATE BLANCHETT,BLUE JASMINE,TRUE
2013,FEMALE LEAD ROLE,SANDRA BULLOCK,GRAVITY,FALSE
2013,FEMALE LEAD ROLE,JUDI DENCH,PHILOMENA,FALSE
2013,FEMALE LEAD ROLE,EMMA THOMPSON,SAVING MR. BANKS,FALSE
2013,FEMALE SUPPORTING ROLE,LUPITA NYONG'O,12 YEARS A SLAVE,TRUE
2013,FEMALE SUPPORTING ROLE,JENNIFER LAWRENCE,AMERICAN HUSLE,FALSE
2013,FEMALE SUPPORTING ROLE,JULIA ROBERTS,AUGUST  OSAGE COUNTY,FALSE
2013,FEMALE SUPPORTING ROLE,OPRAH WINFREY,LEE DANIELS' THE BUTLER,FALSE
2013,FEMALE SUPPORTING ROLE,JUNE SQUIBB,NEBRASKA,FALSE
2013,MALE LEAD ROLE,CHIWETEL EJIOFOR,12 YEARS A SLAVE,FALSE
2013,MALE LEAD ROLE,TOM HANKS,CAPTAIN PHILLIPS,FALSE
2013,MALE LEAD ROLE,MATTHEW McCONAUGHEY,DALLAS BUYERS CLUB,TRUE
2013,MALE LEAD ROLE,FOREST WHITAKER,LEE DANIELS' THE BUTLER,FALSE
2013,MALE LEAD ROLE,BRUCE DERN,NEBRASKA,FALSE
2013,MALE SUPPORTING ROLE,MICHAEL FASSBENDER,12 YEARS A SLAVE,FALSE
2013,MALE SUPPORTING ROLE,BARKHAD ABDI,CAPTAIN PHILLIPS,FALSE
2013,MALE SUPPORTING ROLE,JARED LETO,DALLAS BUYERS CLUB,TRUE
2013,MALE SUPPORTING ROLE,JAMES GANDOLFINI,ENOUGH SAID,FALSE
2013,MALE SUPPORTING ROLE,DANIEL BRÜHL,RUSH,FALSE
2013,MOTION PICTURE,Steve McQueen,12 YEARS A SLAVE,FALSE
2013,MOTION PICTURE,David O. Russell,AMERICAN HUSTLE,TRUE
2013,MOTION PICTURE,John Wells,AUGUST: OSAGE COUNTY,FALSE
2013,MOTION PICTURE,Jean-Marc Vallée,DALLAS BUYERS CLUB,FALSE
2013,MOTION PICTURE,LEE DANIELS,THE BUTLER,FALSE
2014,FEMALE ACTOR IN A LEADING ROLE,JENNIFER ANISTON,CAKE,FALSE
2014,FEMALE ACTOR IN A LEADING ROLE,ROSAMUND PIKE,GONE GIRL,FALSE
2014,FEMALE ACTOR IN A LEADING ROLE,JULIANNE MOORE,STILL ALICE,TRUE
2014,FEMALE ACTOR IN A LEADING ROLE,FELICITY JONES,THE THEORY OF EVERYTHING,FALSE
2014,FEMALE ACTOR IN A LEADING ROLE,REESE WITHERSPOON,WILD,FALSE
2014,FEMALE ACTOR IN A SUPPORTING ROLE,EMMA STONE,BIRDMAN,FALSE
2014,FEMALE ACTOR IN A SUPPORTING ROLE,PATRICIA ARQUETTE,BOYHOOD,FALSE
2014,FEMALE ACTOR IN A SUPPORTING ROLE,MERYL STREEP,INTO THE WOODS,FALSE
2014,FEMALE ACTOR IN A SUPPORTING ROLE,NAOMI WATTS,ST. VINCENT,FALSE
2014,FEMALE ACTOR IN A SUPPORTING ROLE,KEIRA KNIGHTLEY,THE IMITATION GAME,FALSE
2014,MALE ACTOR IN A LEADING ROLE,MICHAEL KEATON,BIRDMAN,FALSE
2014,MALE ACTOR IN A LEADING ROLE,STEVE CARELL,FOXCATCHER,FALSE
2014,MALE ACTOR IN A LEADING ROLE,JAKE GYLLENHAAL,NIGHTCRAWLER,FALSE
2014,MALE ACTOR IN A LEADING ROLE,BENEDICT CUMBERBATCH,THE IMITATION GAME,FALSE
2014,MALE ACTOR IN A LEADING ROLE,EDDIE REDMAYNE,THE THEORY OF EVERYTHING,TRUE
2014,MALE ACTOR IN A SUPPORTING ROLE,EDWARD NORTON,BIRDMAN,FALSE
2014,MALE ACTOR IN A SUPPORTING ROLE,ETHAN HAWKE,BOYHOOD,FALSE
2014,MALE ACTOR IN A SUPPORTING ROLE,MARK RUFFALO,FOXCATCHER,FALSE
2014,MALE ACTOR IN A SUPPORTING ROLE,ROBERT DUVALL,THE JUDGE,FALSE
2014,MALE ACTOR IN A SUPPORTING ROLE,J.K. SIMMONS,WHIPLASH,TRUE
2014,MOTION PICTURE,Alejandro G. Iñárritu,BIRDMAN,TRUE
2014,MOTION PICTURE,Richard Linklater,BOYHOOD,FALSE
2014,MOTION PICTURE,Wes Anderson,THE GRAND BUDAPEST HOTEL,FALSE
2014,MOTION PICTURE,Morten Tyldum,THE IMITATION GAME,FALSE
2014,MOTION PICTURE,James Marsh,THE THEORY OF EVERYTHING,FALSE
2015,FEMALE LEAD,SAOIRSE RONAN,BROOKLYN,FALSE
2015,FEMALE LEAD,CATE BLANCHETT,CAROL,FALSE
2015,FEMALE LEAD,SARAH SILVERMAN,I SMILE BACK,FALSE
2015,FEMALE LEAD,BRIE LARSON,ROOM,TRUE
2015,FEMALE LEAD,HELEN MIRREN,WOMAN IN GOLD,FALSE
2015,FEMALE SUPPORT,ROONEY MARA,CAROL,FALSE
2015,FEMALE SUPPORT,RACHEL McADAMS,SPOTLIGHT,FALSE
2015,FEMALE SUPPORT,KATE WINSLET,STEVE JOBS,FALSE
2015,FEMALE SUPPORT,ALICIA VIKANDER,THE DANISH GIRL,TRUE
2015,FEMALE SUPPORT,HELEN MIRREN,TRUMBO,FALSE
2015,MALE LEAD,JOHNNY DEPP,BLACK MASS,FALSE
2015,MALE LEAD,MICHAEL FASSBENDER,STEVE JOBS,FALSE
2015,MALE LEAD,EDDIE REDMAYNE,THE DANISH GIRL,FALSE
2015,MALE LEAD,LEONARDO DiCAPRIO,THE REVENANT,TRUE
2015,MALE LEAD,BRYAN CRANSTON,TRUMBO,FALSE
2015,MALE SUPPORT,MICHAEL SHANNON,99 HOMES,FALSE
2015,MALE SUPPORT,MICHAEL SHANNON,99 HOMES,FALSE
2015,MALE SUPPORT,IDRIS ELBA,BEASTS OF NO NATION,TRUE
2015,MALE SUPPORT,IDRIS ELBA,BEASTS OF NO NATION,TRUE
2015,MALE SUPPORT,MARK RYLANCE,BRIDGE OF SPIES,FALSE
2015,MALE SUPPORT,MARK RYLANCE,BRIDGE OF SPIES,FALSE
2015,MALE SUPPORT,JACOB TREMBLAY,ROOM,FALSE
2015,MALE SUPPORT,JACOB TREMBLAY,ROOM,FALSE
2015,MALE SUPPORT,CHRISTIAN BALE,THE BIG SHORT,FALSE
2015,MALE SUPPORT,CHRISTIAN BALE,THE BIG SHORT,FALSE
2015,MOTION PICTURE,Cary Joji Fukunaga,BEASTS OF NO NATION,FALSE
2015,MOTION PICTURE,Tom McCarthy,SPOTLIGHT,TRUE
2015,MOTION PICTURE,F. Gary Gray,STRAIGHT OUTTA COMPTON,FALSE
2015,MOTION PICTURE,Adam McKay,THE BIG SHORT,FALSE
2015,MOTION PICTURE,Jay Roach,TRUMBO,FALSE
2016,FEMALE LEAD,AMY ADAMS,ARRIVAL,FALSE
2016,FEMALE LEAD,MERYL STREEP,FLORENCE FOSTER JENKINS,FALSE
2016,FEMALE LEAD,NATALIE PORTMAN,JACKIE,FALSE
2016,FEMALE LEAD,EMMA STONE,LA LA LAND,TRUE
2016,FEMALE LEAD,EMILY BLUNT,THE GIRL ON THE TRAIN,FALSE
2016,FEMALE SUPPORT,VIOLA DAVIS,FENCES,TRUE
2016,FEMALE SUPPORT,OCTAVIA SPENCER,HIDDEN FIGURES,FALSE
2016,FEMALE SUPPORT,NICOLE KIDMAN,LION,FALSE
2016,FEMALE SUPPORT,MICHELLE WILLIAMS,MANCHESTER BY THE SEA,FALSE
2016,FEMALE SUPPORT,NAOMIE HARRIS,MOONLIGHT,FALSE
2016,MALE LEAD,VIGGO MORTENSEN,CAPTAIN FANTASTIC,FALSE
2016,MALE LEAD,DENZEL WASHINGTON,FENCES,TRUE
2016,MALE LEAD,ANDREW GARFIELD,HACKSAW RIDGE,FALSE
2016,MALE LEAD,RYAN GOSLING,LA LA LAND,FALSE
2016,MALE LEAD,CASEY AFFLECK,MANCHESTER BY THE SEA,FALSE
2016,MALE SUPPORT,HUGH GRANT,FLORENCE FOSTER JENKINS,FALSE
2016,MALE SUPPORT,JEFF BRIDGES,HELL OR HIGH WATER,FALSE
2016,MALE SUPPORT,DEV PATEL,LION,FALSE
2016,MALE SUPPORT,LUCAS HEDGES,MANCHESTER BY THE SEA,FALSE
2016,MALE SUPPORT,MAHERSHALA ALI,MOONLIGHT,TRUE
2016,MOTION PICTURE,Matt Ross,CAPTAIN FANTASTIC,FALSE
2016,MOTION PICTURE,Denzel Washington,FENCES,FALSE
2016,MOTION PICTURE,Theodore Melfi,HIDDEN FIGURES,TRUE
2016,MOTION PICTURE,Kenneth Lonergan,MANCHESTER BY THE SEA,FALSE
2016,MOTION PICTURE,Barry Jenkins,MOONLIGHT,FALSE
2017,FEMALE LEAD,MARGOT ROBBIE,"I, Tonya",FALSE
2017,FEMALE LEAD,SAOIRSE RONAN,LADY BIRD,FALSE
2017,FEMALE LEAD,SALLY HAWKINS,THE SHAPE OF WATER,FALSE
2017,FEMALE LEAD,FRANCES MCDORMAND,THREE BILLBOARDS OUTSIDE EBBING MISSOURI,TRUE
2017,FEMALE LEAD,JUDI DENCH,VICTORIA & ABDUL,FALSE
2017,FEMALE SUPPORT,HONG CHAU,DOWNSIZING,FALSE
2017,FEMALE SUPPORT,ALLISON JANNEY,"I, Tonya",FALSE
2017,FEMALE SUPPORT,LAURIE METCALF,LADY BIRD,FALSE
2017,FEMALE SUPPORT,MARY J. BLIGE,MUDBOUND,FALSE
2017,FEMALE SUPPORT,HOLLY HUNTER,THE BIG SICK,FALSE
2017,MALE LEAD,TIMOTHÉE CHALAMET,CALL ME BY YOUR NAME,FALSE
2017,MALE LEAD,GARY OLDMAN,DARKEST HOUR,TRUE
2017,MALE LEAD,DANIEL KALUUYA,GET OUT,FALSE
2017,MALE LEAD,JAMES FRANCO,THE DISASTER ARTIST,FALSE
2017,MALE SUPPORT,STEVE CARELL,BATTLE OF THE SEXES,FALSE
2017,MALE SUPPORT,WILLEM DAFOE,THE FLORIDA PROJECT,FALSE
2017,MALE SUPPORT,RICHARD JENKINS,THE SHAPE OF WATER,FALSE
2017,MALE SUPPORT,SAM ROCKWELL,THREE BILLBOARDS OUTSIDE EBBING MISSOURI,TRUE
2017,MALE SUPPORT,WOODY HARRELSON,THREE BILLBOARDS OUTSIDE EBBING MISSOURI,FALSE
2017,MOTION PICTURE,Jordan Peele,GET OUT,FALSE
2017,MOTION PICTURE,Greta Gerwig,LADY BIRD,FALSE
2017,MOTION PICTURE,Dee Rees,MUDBOUND,FALSE
2017,MOTION PICTURE,Michael Showalter,THE BIG SICK,FALSE
2017,MOTION PICTURE,Martin McDonagh,THREE BILLBOARDS OUTSIDE EBBING MISSOURI,TRUE
2018,FEMALE LEAD IN A MOTION PICTURE,LADY GAGA,A STAR IS BORN,FALSE
2018,FEMALE LEAD IN A MOTION PICTURE,MELISSA MCCARTHY,CAN YOU EVER FORGIVE ME?,FALSE
2018,FEMALE LEAD IN A MOTION PICTURE,EMILY BLUNT,MARY POPPINS RETURNS,FALSE
2018,FEMALE LEAD IN A MOTION PICTURE,OLIVIA COLMAN,THE FAVOURITE,FALSE
2018,FEMALE LEAD IN A MOTION PICTURE,GLENN CLOSE,THE WIFE,TRUE
2018,FEMALE SUPPORT IN A MOTION PICTURE,EMILY BLUNT,A QUIET PLACE,TRUE
2018,FEMALE SUPPORT IN A MOTION PICTURE,MARGOT ROBBIE,MARY QUEEN OF SCOTS,FALSE
2018,FEMALE SUPPORT IN A MOTION PICTURE,EMMA STONE,THE FAVOURITE,FALSE
2018,FEMALE SUPPORT IN A MOTION PICTURE,RACHEL WEISZ,THE FAVOURITE,FALSE
2018,FEMALE SUPPORT IN A MOTION PICTURE,AMY ADAMS,VICE,FALSE
2018,MALE LEAD IN A MOTION PICTURE,BRADLEY COOPER,A STAR IS BORN,FALSE
2018,MALE LEAD IN A MOTION PICTURE,JOHN DAVID WASHINGTON,BLACKKKLANSMAN,FALSE
2018,MALE LEAD IN A MOTION PICTURE,RAMI MALEK,BOHEMIAN RHAPSODY,TRUE
2018,MALE LEAD IN A MOTION PICTURE,VIGGO MORTENSEN,GREEN BOOK,FALSE
2018,MALE LEAD IN A MOTION PICTURE,CHRISTIAN BALE,VICE,FALSE
2018,MALE SUPPORT IN A MOTION PICTURE,SAM ELLIOTT,A STAR IS BORN,FALSE
2018,MALE SUPPORT IN A MOTION PICTURE,TIMOTHÉE CHALAMET,BEAUTIFUL BOY,FALSE
2018,MALE SUPPORT IN A MOTION PICTURE,ADAM DRIVER,BLACKKKLANSMAN,FALSE
2018,MALE SUPPORT IN A MOTION PICTURE,RICHARD E. GRANT,CAN YOU EVER FORGIVE ME?,FALSE
2018,MALE SUPPORT IN A MOTION PICTURE,MAHERSHALA ALI,GREEN BOOK,TRUE
2018,MOTION PICTURE,Bradley Cooper,A STAR IS BORN,FALSE
2018,MOTION PICTURE,Ryan Coogler,BLACK PANTHER,TRUE
2018,MOTION PICTURE,Spike Lee,BLACKKKLANSMAN,FALSE
2018,MOTION PICTURE,Dexter Fletcher,BOHEMIAN RHAPSODY,FALSE
2018,MOTION PICTURE,Jon M. Chu,CRAZY RICH ASIANS,FALSE
2019,FEMALE ACTOR IN A LEADING ROLE,CYNTHIA ERIVO,HARRIET,FALSE
2019,FEMALE ACTOR IN A LEADING ROLE,SCARLETT JOHANSSON,MARRIAGE STORY,FALSE
2019,FEMALE ACTOR IN A LEADING ROLE,LUPITA NYONG'O,US,FALSE
2019,FEMALE ACTOR IN A LEADING ROLE,CHARLIZE THERON,BOMBSHELL,FALSE
2019,FEMALE ACTOR IN A LEADING ROLE,RENÉE ZELLWEGER,JUDY,TRUE
2019,FEMALE ACTOR IN A SUPPORTING ROLE,LAURA DERN,MARRIAGE STORY,TRUE
2019,FEMALE ACTOR IN A SUPPORTING ROLE,SCARLETT JOHANSSON,JOJO RABBIT,FALSE
2019,FEMALE ACTOR IN A SUPPORTING ROLE,NICOLE KIDMAN,BOMBSHELL,FALSE
2019,FEMALE ACTOR IN A SUPPORTING ROLE,JENNIFER LOPEZ,HUSTLERS,FALSE
2019,FEMALE ACTOR IN A SUPPORTING ROLE,MARGOT ROBBIE,BOMBSHELL,FALSE
2019,MALE ACTOR IN A LEADING ROLE,CHRISTIAN BALE,FORD V FERRARI,FALSE
2019,MALE ACTOR IN A LEADING ROLE,LEONARDO DICAPRIO,ONCE UPON A TIME...IN HOLLYWOOD,FALSE
2019,MALE ACTOR IN A LEADING ROLE,ADAM DRIVER,MARRIAGE STORY,FALSE
2019,MALE ACTOR IN A LEADING ROLE,TARON EGERTON,ROCKETMAN,FALSE
2019,MALE ACTOR IN A LEADING ROLE,JOAQUIN PHOENIX,JOKER,TRUE
2019,MALE ACTOR IN A SUPPORTING ROLE,JAMIE FOXX,JUST MERCY,FALSE
2019,MALE ACTOR IN A SUPPORTING ROLE,TOM HANKS,A BEAUTIFUL DAY IN THE NEIGHBORHOOD,FALSE
2019,MALE ACTOR IN A SUPPORTING ROLE,AL PACINO,THE IRISHMAN,FALSE
2019,MALE ACTOR IN A SUPPORTING ROLE,JOE PESCI,THE IRISHMAN,FALSE
2019,MALE ACTOR IN A SUPPORTING ROLE,BRAD PITT,ONCE UPON A TIME...IN HOLLYWOOD,TRUE
2019,MOTION PICTURE,Jay Roach,BOMBSHELL,FALSE
2019,MOTION PICTURE,Martin Scorsese,THE IRISHMAN,FALSE
2019,MOTION PICTURE,Taika Waititi,JOJO RABBIT,FALSE
2019,MOTION PICTURE,Quentin Tarantino,ONCE UPON A TIME...IN HOLLYWOOD,FALSE
2019,MOTION PICTURE,Bong Joon Ho,PARASITE,TRUE
2020,FEMALE ACTOR IN A LEADING ROLE,Viola Davis,Ma Rainey's Black Bottom,TRUE
2020,FEMALE ACTOR IN A LEADING ROLE,Amy Adams,Hillbilly Elegy,FALSE
2020,FEMALE ACTOR IN A LEADING ROLE,Vanessa Kirby,Pieces of a Woman,FALSE
2020,FEMALE ACTOR IN A LEADING ROLE,Frances McDormand,Nomadland,FALSE
2020,FEMALE ACTOR IN A LEADING ROLE,Carey Mulligan,Promising Young Woman,FALSE
2020,FEMALE ACTOR IN A SUPPORTING ROLE,Youn Yuh-jung,Minari,TRUE
2020,FEMALE ACTOR IN A SUPPORTING ROLE,Maria Bakalova,Borat,FALSE
2020,FEMALE ACTOR IN A SUPPORTING ROLE,Glenn Close,Hillbilly Elegy,FALSE
2020,FEMALE ACTOR IN A SUPPORTING ROLE,Olivia Colman,The Father,FALSE
2020,FEMALE ACTOR IN A SUPPORTING ROLE,Helena Zengel,News of the World,FALSE
2020,MALE ACTOR IN A LEADING ROLE,Chadwick Boseman,Ma Rainey's Black Bottomas,TRUE
2020,MALE ACTOR IN A LEADING ROLE,Riz Ahmed,Sound of Metal,FALSE
2020,MALE ACTOR IN A LEADING ROLE,Anthony Hopkins,The Father,FALSE
2020,MALE ACTOR IN A LEADING ROLE,Gary Oldman,Mank,FALSE
2020,MALE ACTOR IN A LEADING ROLE,Steven Yeun,Minari,FALSE
2020,MALE ACTOR IN A SUPPORTING ROLE,Daniel Kaluuya,Judas and the Black Messiah,TRUE
2020,MALE ACTOR IN A SUPPORTING ROLE,Sacha Baron Cohen,The Trial of the Chicago 7,FALSE
2020,MALE ACTOR IN A SUPPORTING ROLE,Chadwick Boseman,Da 5 Bloods,FALSE
2020,MALE ACTOR IN A SUPPORTING ROLE,Jared Leto,The Little Things,FALSE
2020,MALE ACTOR IN A SUPPORTING ROLE,Leslie Odom Jr.,One Night in Miami...,FALSE
2020,MOTION PICTURE,Florian Zeller,The Trial of the Chicago 7,TRUE
2020,MOTION PICTURE,Spike Lee,Da 5 Bloods,FALSE
2020,MOTION PICTURE,George C. Wolfe,Ma Rainey's Black Bottom,FALSE
2020,MOTION PICTURE,Lee Isaac Chung,Minari,FALSE
2020,MOTION PICTURE,Regina King,One Night in Miami...,FALSE
2021,FEMALE ACTOR IN A LEADING ROLE,Jessica Chastain,The Eyes of Tammy Faye,TRUE
2021,FEMALE ACTOR IN A LEADING ROLE,Olivia Colman,The Lost Daughter,FALSE
2021,FEMALE ACTOR IN A LEADING ROLE,Lady Gaga,House of Gucci,FALSE
2021,FEMALE ACTOR IN A LEADING ROLE,Jennifer Hudson,Respect,FALSE
2021,FEMALE ACTOR IN A LEADING ROLE,Nicole Kidman,Being the Ricardos,FALSE
2021,FEMALE ACTOR IN A SUPPORTING ROLE,Ariana DeBose,West Side Story,TRUE
2021,FEMALE ACTOR IN A SUPPORTING ROLE,Caitríona Balfe,Belfast,FALSE
2021,FEMALE ACTOR IN A SUPPORTING ROLE,Cate Blanchett,Nightmare Alley,FALSE
2021,FEMALE ACTOR IN A SUPPORTING ROLE,Kirsten Dunst,The Power of the Dog,FALSE
2021,FEMALE ACTOR IN A SUPPORTING ROLE,Ruth Negga,Passing,FALSE
2021,MALE ACTOR IN A LEADING ROLE,Will Smith,King Richard,TRUE
2021,MALE ACTOR IN A LEADING ROLE,Javier Bardem,Being the Ricardos,FALSE
2021,MALE ACTOR IN A LEADING ROLE,Benedict Cumberbatch,The Power of the Dog,FALSE
2021,MALE ACTOR IN A LEADING ROLE,Andrew Garfield,"tick, tick... BOOM!  ",FALSE
2021,MALE ACTOR IN A LEADING ROLE,Denzel Washington,The Tragedy of Macbeth,FALSE
2021,MALE ACTOR IN A SUPPORTING ROLE,Troy Kotsur,CODA,TRUE
2021,MALE ACTOR IN A SUPPORTING ROLE,Ben Affleck,The Tender Bar,FALSE
2021,MALE ACTOR IN A SUPPORTING ROLE,Bradley Cooper,Licorice Pizza,FALSE
2021,MALE ACTOR IN A SUPPORTING ROLE,Jared Leto,House of Gucci,FALSE
2021,MALE ACTOR IN A SUPPORTING ROLE,Kodi Smit-McPhee,The Power of the Dog,FALSE
2021,MOTION PICTURE,Sian Heder,CODA,TRUE
2021,MOTION PICTURE,Kenneth Branagh,Belfast,FALSE
2021,MOTION PICTURE,Adam McKay,Don't Look Up,FALSE
2021,MOTION PICTURE,Ridley Scott,House of Gucci,FALSE
2021,MOTION PICTURE,Reinaldo Marcus Green,King Richard,FALSE
2022,FEMALE ACTOR IN A LEADING ROLE,Michelle Yeoh,Everything Everywhere All at Once,TRUE
2022,FEMALE ACTOR IN A LEADING ROLE,Cate Blanchett,Tár,FALSE
2022,FEMALE ACTOR IN A LEADING ROLE,Viola Davis,The Woman King,FALSE
2022,FEMALE ACTOR IN A LEADING ROLE,Ana de Armas,Blonde,FALSE
2022,FEMALE ACTOR IN A LEADING ROLE,Danielle Deadwyler,Till,FALSE
2022,FEMALE ACTOR IN A SUPPORTING ROLE,Jamie Lee Curtis,Everything Everywhere All at Once,TRUE
2022,FEMALE ACTOR IN A SUPPORTING ROLE,Angela Bassett,Black Panther: Wakanda Forever,FALSE
2022,FEMALE ACTOR IN A SUPPORTING ROLE,Hong Chau,The Whale,FALSE
2022,FEMALE ACTOR IN A SUPPORTING ROLE,Kerry Condon,The Banshees of Inisherin,FALSE
2022,FEMALE ACTOR IN A SUPPORTING ROLE,Stephanie Hsu,Everything Everywhere All at Once,FALSE
2022,MALE ACTOR IN A LEADING ROLE,Brendan Fraser,The Whale,TRUE
2022,MALE ACTOR IN A LEADING ROLE,Austin Butler,Elvis,FALSE
2022,MALE ACTOR IN A LEADING ROLE,Colin Farrell,The Banshees of Inisherin,FALSE
2022,MALE ACTOR IN A LEADING ROLE,Bill Nighy,Living,FALSE
2022,MALE ACTOR IN A LEADING ROLE,Adam Sandler,Hustle,FALSE
2022,MALE ACTOR IN A SUPPORTING ROLE,Ke Huy Quan,Everything Everywhere All at Once,TRUE
2022,MALE ACTOR IN A SUPPORTING ROLE,Paul Dano,The Fabelmans,FALSE
2022,MALE ACTOR IN A SUPPORTING ROLE,Brendan Gleeson,The Banshees of Inisherin,FALSE
2022,MALE ACTOR IN A SUPPORTING ROLE,Barry Keoghan,The Banshees of Inisherin,FALSE
2022,MALE ACTOR IN A SUPPORTING ROLE,Eddie Redmayne,The Good Nurse,FALSE
2022,MOTION PICTURE,Daniel Kwan and Daniel Scheinert,Everything Everywhere All at Once,TRUE
2022,MOTION PICTURE,Damien Chazelle,Babylon,FALSE
2022,MOTION PICTURE,Martin McDonagh,The Banshees of Inisherin,FALSE
2022,MOTION PICTURE,Steven Spielberg,The Fabelmans,FALSE
2022,MOTION PICTURE,Sarah Polley,Women Talking,FALSE
2023,FEMALE ACTOR IN A LEADING ROLE,Lily Gladstone,Killers of the Flower Moon,TRUE
2023,FEMALE ACTOR IN A LEADING ROLE,Annette Bening,Nyad,FALSE
2023,FEMALE ACTOR IN A LEADING ROLE,Carey Mulligan,Maestro,FALSE
2023,FEMALE ACTOR IN A LEADING ROLE,Margot Robbie,Barbie,FALSE
2023,FEMALE ACTOR IN A LEADING ROLE,Emma Stone,Poor Things,FALSE
2023,FEMALE ACTOR IN A SUPPORTING ROLE,Da'Vine Joy Randolph,The Holdovers,TRUE
2023,FEMALE ACTOR IN A SUPPORTING ROLE,Emily Blunt,Oppenheimer,FALSE
2023,FEMALE ACTOR IN A SUPPORTING ROLE,Danielle Brooks,The Color Purple,FALSE
2023,FEMALE ACTOR IN A SUPPORTING ROLE,Penélope Cruz,Ferrari,FALSE
2023,FEMALE ACTOR IN A SUPPORTING ROLE,Jodie Foster,Nyad,FALSE
2023,MALE ACTOR IN A LEADING ROLE,Cillian Murphy,Oppenheimer,TRUE
2023,MALE ACTOR IN A LEADING ROLE,Bradley Cooper,Maestro,FALSE
2023,MALE ACTOR IN A LEADING ROLE,Colman Domingo,Rustin,FALSE
2023,MALE ACTOR IN A LEADING ROLE,Paul Giamatti,The Holdovers,FALSE
2023,MALE ACTOR IN A LEADING ROLE,Jeffrey Wright,American Fiction,FALSE
2023,MALE ACTOR IN A SUPPORTING ROLE,Robert Downey Jr.,Oppenheimer,TRUE
2023,MALE ACTOR IN A SUPPORTING ROLE,Sterling K. Brown,American Fiction,FALSE
2023,MALE ACTOR IN A SUPPORTING ROLE,Willem Dafoe,Poor Things,FALSE
2023,MALE ACTOR IN A SUPPORTING ROLE,Robert De Niro,Killers of the Flower Moon,FALSE
2023,MALE ACTOR IN A SUPPORTING ROLE,Ryan Gosling,Barbie,FALSE
2023,MOTION PICTURE,Christopher Nolan,Oppenheimer,TRUE
2023,MOTION PICTURE,Cord Jefferson,American Fiction,FALSE
2023,MOTION PICTURE,Greta Gerwig,Barbie,FALSE
2023,MOTION PICTURE,Blitz Bazawule,The Color Purple,FALSE
2023,MOTION PICTURE,Martin Scorsese,Killers of the Flower Moon,FALSE
